         126601 function calls in 0.391 seconds

   Ordered by: cumulative time
   List reduced from 67 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.002    0.000    0.391    0.002 /workspace/kalmanorix/src/kalmanorix/panoramix.py:962(brew)
      200    0.001    0.000    0.388    0.002 /workspace/kalmanorix/src/kalmanorix/panoramix.py:286(fuse)
      200    0.011    0.000    0.386    0.002 /workspace/kalmanorix/src/kalmanorix/panoramix.py:201(_fuse_legacy)
      200    0.012    0.000    0.200    0.001 /workspace/kalmanorix/src/kalmanorix/kalman_engine/kalman_fuser.py:61(kalman_fuse_diagonal)
     2400    0.008    0.000    0.097    0.000 /workspace/kalmanorix/experiments/run_kalman_latency_optimization.py:26(__call__)
     1200    0.003    0.000    0.090    0.000 /workspace/kalmanorix/src/kalmanorix/village.py:91(sigma2_for)
     2400    0.079    0.000    0.087    0.000 /workspace/kalmanorix/experiments/run_kalman_latency_optimization.py:60(_embed)
     1200    0.005    0.000    0.087    0.000 /workspace/kalmanorix/experiments/run_kalman_latency_optimization.py:40(__call__)
     1200    0.018    0.000    0.081    0.000 /workspace/kalmanorix/experiments/run_kalman_latency_optimization.py:72(_sigma2)
      200    0.024    0.000    0.064    0.000 /workspace/kalmanorix/src/kalmanorix/kalman_engine/kalman_fuser.py:205(_validate_inputs)
     1000    0.042    0.000    0.058    0.000 /workspace/kalmanorix/src/kalmanorix/kalman_engine/kalman_fuser.py:155(_kalman_update_diagonal)
     4600    0.010    0.000    0.055    0.000 /root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2338(sum)
     8400    0.043    0.000    0.043    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4600    0.013    0.000    0.042    0.000 /root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
     3600    0.011    0.000    0.031    0.000 /root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
     2200    0.016    0.000    0.029    0.000 /root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/numpy/linalg/_linalg.py:2575(norm)
     2400    0.004    0.000    0.022    0.000 /root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2589(all)
      200    0.001    0.000    0.017    0.000 {method 'sort' of 'list' objects}
     1200    0.002    0.000    0.016    0.000 /workspace/kalmanorix/src/kalmanorix/kalman_engine/kalman_fuser.py:131(<lambda>)
     1200    0.003    0.000    0.015    0.000 /root/.pyenv/versions/3.10.19/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2477(any)


